0, 15, 61, 30
13, 3, 36, 11
21, 46, 20, 8
151, 49, 17, 8
130, 17, 58, 30
143, 3, 32, 13
271, 1, 34, 10
262, 13, 51, 31
276, 44, 22, 10
1, 176, 60, 29
17, 163, 31, 11
22, 206, 21, 8
150, 210, 20, 6
132, 177, 56, 30
143, 161, 33, 14
258, 175, 58, 31
276, 206, 24, 10
271, 162, 32, 13
387, 144, 58, 31
399, 128, 32, 14
406, 175, 20, 8
561, 175, 27, 7
546, 143, 58, 30
561, 129, 28, 12
674, 177, 58, 29
691, 162, 25, 12
694, 208, 20, 6
819, 208, 23, 8
801, 176, 58, 30
816, 161, 30, 13
674, 18, 58, 28
693, 46, 22, 7
687, 4, 34, 12
815, 4, 30, 8
804, 16, 55, 31
823, 46, 22, 8
929, 177, 59, 28
947, 205, 26, 10
947, 162, 28, 13
930, 17, 58, 32
947, 49, 25, 7
945, 3, 30, 13
