480, 0, 4, 38
484, 32, 636, 6
1116, 38, 4, 122
1120, 154, 160, 6
28, 186, 1064, 6
28, 192, 4, 1062
1088, 192, 4, 454
96, 218, 960, 6
1056, 220, 4, 420
348, 224, 4, 64
540, 224, 4, 64
96, 282, 192, 6
416, 282, 64, 6
544, 282, 128, 6
736, 282, 128, 6
992, 282, 64, 6
92, 284, 4, 906
672, 284, 4, 68
732, 284, 4, 138
476, 288, 4, 134
928, 288, 4, 70
96, 346, 64, 6
224, 346, 192, 6
544, 346, 128, 6
540, 348, 4, 74
156, 352, 4, 70
800, 352, 128, 6
932, 352, 60, 6
800, 358, 4, 64
988, 358, 4, 58
160, 416, 196, 6
480, 416, 60, 6
544, 416, 68, 6
672, 416, 60, 6
736, 416, 64, 6
864, 416, 64, 6
352, 422, 4, 122
608, 422, 4, 122
672, 422, 4, 64
864, 422, 4, 58
924, 422, 4, 128
416, 474, 128, 6
800, 474, 64, 6
928, 474, 64, 6
156, 480, 132, 6
476, 480, 4, 262
612, 480, 60, 6
676, 480, 64, 6
800, 480, 4, 134
156, 486, 4, 58
284, 486, 4, 186
736, 486, 4, 58
672, 538, 64, 6
668, 540, 4, 138
412, 544, 4, 128
540, 544, 4, 128
864, 544, 60, 6
928, 544, 68, 6
992, 550, 4, 122
544, 602, 64, 6
608, 604, 4, 138
96, 608, 64, 6
224, 608, 4, 134
288, 608, 64, 6
416, 608, 60, 6
736, 608, 64, 6
804, 608, 124, 6
156, 614, 4, 64
348, 614, 4, 186
1092, 640, 188, 6
160, 672, 64, 6
672, 672, 260, 6
800, 678, 4, 64
928, 678, 4, 58
864, 730, 64, 6
156, 736, 68, 6
228, 736, 60, 6
352, 736, 64, 6
480, 736, 128, 6
672, 736, 128, 6
156, 742, 4, 122
284, 742, 4, 192
412, 742, 4, 58
672, 742, 4, 128
736, 794, 256, 6
1088, 794, 192, 6
992, 796, 4, 68
220, 800, 4, 134
476, 800, 196, 6
800, 800, 4, 70
1056, 800, 4, 390
1088, 800, 4, 454
476, 806, 4, 122
224, 864, 60, 6
348, 864, 4, 192
412, 864, 64, 6
544, 864, 68, 6
676, 864, 124, 6
804, 864, 60, 6
928, 864, 4, 70
412, 870, 4, 64
544, 870, 4, 186
608, 870, 4, 58
480, 922, 64, 6
992, 922, 64, 6
160, 928, 60, 6
352, 928, 60, 6
672, 928, 256, 6
672, 934, 4, 64
160, 992, 128, 6
412, 992, 68, 6
608, 992, 64, 6
676, 992, 124, 6
864, 992, 128, 6
284, 998, 4, 64
412, 998, 4, 64
608, 998, 4, 122
796, 998, 4, 122
864, 998, 4, 122
988, 998, 4, 64
96, 1056, 64, 6
224, 1056, 60, 6
352, 1056, 60, 6
476, 1056, 4, 64
672, 1056, 64, 6
928, 1056, 60, 6
224, 1062, 4, 64
732, 1062, 4, 128
928, 1062, 4, 128
480, 1114, 128, 6
800, 1114, 64, 6
156, 1120, 68, 6
284, 1120, 4, 70
352, 1120, 64, 6
156, 1126, 4, 64
412, 1126, 4, 64
96, 1184, 60, 6
160, 1184, 124, 6
288, 1184, 124, 6
416, 1184, 316, 6
736, 1184, 192, 6
932, 1184, 124, 6
32, 1248, 1056, 6
