12, 96, 134, 64
30, 156, 106, 30
228, 102, 146, 52
250, 152, 108, 38
622, 102, 154, 82
626, 48, 152, 48
268, 64, 64, 32
48, 62, 52, 28
12, 324, 130, 60
48, 288, 66, 28
34, 386, 102, 26
810, 466, 164, 66
862, 440, 54, 22
818, 536, 148, 66
6, 768, 366, 96
36, 738, 42, 26
166, 742, 48, 24
292, 740, 50, 24
610, 734, 142, 22
620, 758, 128, 70
616, 830, 12, 32
740, 830, 54, 32
764, 818, 30, 12
766, 862, 30, 12
836, 768, 144, 62
858, 826, 108, 36
878, 738, 64, 26
0, 958, 370, 92
44, 926, 40, 28
160, 926, 52, 28
290, 932, 58, 20
612, 962, 374, 88
644, 932, 52, 24
770, 936, 54, 20
906, 934, 40, 24
